Agent_ID,Agent_Name,Experience_Years,Total_Sales_Closed,Total_Rentals_Closed,Agent_Rating
1,Agent_1,14,249,63,4.207630192675971
2,Agent_2,24,396,147,4.009533997069242
3,Agent_3,8,128,134,3.532701519194683
4,Agent_4,1,100,38,4.362565250955148
5,Agent_5,5,105,257,3.3875399172913383
6,Agent_6,16,159,265,3.2848432280854007
7,Agent_7,7,98,94,3.089985867977122
8,Agent_8,24,359,116,4.06359491350738
9,Agent_9,18,178,44,4.484413996011325
10,Agent_10,18,172,152,3.3540872954579175
11,Agent_11,15,479,94,3.4142287922798475
12,Agent_12,13,34,292,4.17945663200592
13,Agent_13,12,338,216,3.6681467992601604
14,Agent_14,20,380,132,4.763794497525144
15,Agent_15,9,42,299,3.4374117202943673
16,Agent_16,18,412,143,3.5096840218767746
17,Agent_17,1,93,231,3.7243058204848527
18,Agent_18,22,303,194,3.9103177249176913
19,Agent_19,27,2,274,4.9995220808993786
20,Agent_20,23,49,148,3.1770197090561396
21,Agent_21,20,200,53,4.037572833965564
22,Agent_22,22,373,244,3.2652984064208432
23,Agent_23,1,263,264,3.920793160214806
24,Agent_24,27,54,264,4.832298145835195
25,Agent_25,13,475,178,4.348803781709911
26,Agent_26,21,438,60,4.241065590442181
27,Agent_27,20,124,182,3.5161934399295647
28,Agent_28,19,76,188,3.7767017677354344
29,Agent_29,19,192,143,4.240756104680949
30,Agent_30,25,451,235,3.2198647272189707
31,Agent_31,14,428,125,4.780919108122097
32,Agent_32,11,468,96,3.6044260589970083
33,Agent_33,3,36,170,3.1630472288083844
34,Agent_34,14,288,21,4.382627627418167
35,Agent_35,2,303,130,3.307112518807524
36,Agent_36,4,337,49,3.196900444092893
37,Agent_37,8,345,137,4.8565736231411805
38,Agent_38,8,153,260,4.05217366777206
39,Agent_39,21,217,267,3.779669049314971
40,Agent_40,19,425,121,3.5990576036041464
41,Agent_41,29,98,95,3.013364230583904
42,Agent_42,5,169,225,3.610754830820658
43,Agent_43,22,235,29,3.117846937243067
44,Agent_44,15,200,4,4.384810130011233
45,Agent_45,17,213,132,3.014792262534173
46,Agent_46,3,307,70,3.924295036170289
47,Agent_47,15,244,115,4.88794139194304
48,Agent_48,20,435,51,4.553568219040832
49,Agent_49,11,224,169,3.2296782551166023
50,Agent_50,17,423,89,4.411295573944346
51,Agent_51,26,61,271,4.41099827950452
52,Agent_52,6,211,241,3.904044170689315
53,Agent_53,27,377,20,3.49220322158287
54,Agent_54,27,191,107,3.258869700300175
55,Agent_55,1,18,242,3.8321181519349743
56,Agent_56,15,170,72,3.972390038655636
57,Agent_57,18,128,33,4.620695053963045
58,Agent_58,17,73,81,4.648950693191747
59,Agent_59,15,161,166,3.6880595134828216
60,Agent_60,20,421,183,3.008951124550158
61,Agent_61,9,2,5,3.9116489272648653
62,Agent_62,15,434,42,4.430582055703427
63,Agent_63,25,21,294,4.771589544640582
64,Agent_64,22,156,180,3.1549126675458243
65,Agent_65,21,303,159,3.1175686649463943
66,Agent_66,3,326,201,3.262331209655976
67,Agent_67,8,293,162,4.319885857359412
68,Agent_68,22,33,155,3.3124797725761934
69,Agent_69,3,361,236,4.949810168902685
70,Agent_70,24,139,262,3.401216896001813
71,Agent_71,4,198,180,4.067682257776994
72,Agent_72,8,300,121,4.835933831855622
73,Agent_73,17,4,258,3.3264715293228884
74,Agent_74,17,126,247,4.0382049975478305
75,Agent_75,13,156,29,3.330433034858456
76,Agent_76,22,158,42,4.524677205069363
77,Agent_77,8,183,37,4.767709182575918
78,Agent_78,4,384,199,4.062330878689693
79,Agent_79,22,350,267,4.944988812331447
80,Agent_80,11,150,213,3.923496363800227
81,Agent_81,4,412,133,3.0298253555174335
82,Agent_82,1,148,274,4.167283915742384
83,Agent_83,28,144,165,4.878566955410388
84,Agent_84,24,235,280,3.694102793185311
85,Agent_85,6,212,172,3.3113463207257428
86,Agent_86,29,267,164,3.3182908416772623
87,Agent_87,3,320,184,4.883275509302158
88,Agent_88,13,179,248,3.6899319989932495
89,Agent_89,25,357,245,3.0449512853391596
90,Agent_90,8,203,63,4.86990596626357
91,Agent_91,2,347,130,3.0487001398454296
92,Agent_92,22,391,71,3.910908210556441
93,Agent_93,21,25,294,4.924341200725005
94,Agent_94,17,243,190,3.9264438107415867
95,Agent_95,20,339,55,4.5050164740479275
96,Agent_96,4,154,132,3.1064467489103773
97,Agent_97,10,8,245,4.809253199559351
98,Agent_98,7,432,237,3.6847719712380664
99,Agent_99,5,444,228,4.645611447054742
100,Agent_100,7,313,169,4.5827305259928695
101,Agent_101,8,12,288,3.0607334171180467
102,Agent_102,21,189,20,4.1208899357263205
103,Agent_103,12,134,122,4.53133186496855
104,Agent_104,25,317,172,3.6964589309369655
105,Agent_105,3,464,60,3.1743501347553824
106,Agent_106,2,144,51,4.533722937975488
107,Agent_107,13,442,18,3.38489596471267
108,Agent_108,5,11,165,4.385479563416138
109,Agent_109,23,34,42,3.9432789052684916
110,Agent_110,19,413,4,4.640176295456664
111,Agent_111,25,222,280,4.488514375644902
112,Agent_112,14,3,33,3.5629128574577975
113,Agent_113,14,255,78,3.7583181627765736
114,Agent_114,24,152,161,4.550261560476665
115,Agent_115,25,344,296,3.4508339671184953
116,Agent_116,27,467,21,4.433000259932417
117,Agent_117,19,412,144,4.898017735424142
118,Agent_118,16,166,119,3.022874960398933
119,Agent_119,29,294,258,4.920135987538348
120,Agent_120,3,251,291,3.869132867607568
121,Agent_121,8,477,105,4.175732163131775
122,Agent_122,25,322,36,4.525095738792443
123,Agent_123,7,256,282,4.054484931816246
124,Agent_124,3,33,217,3.8754939889389846
125,Agent_125,25,43,283,3.244483055983081
126,Agent_126,7,14,122,4.387752940805834
127,Agent_127,11,423,141,4.606915766270257
128,Agent_128,23,180,289,4.4949942378613725
129,Agent_129,23,25,36,4.819259709420869
130,Agent_130,28,378,229,4.473279513697178
131,Agent_131,17,48,125,3.7728264022975626
132,Agent_132,22,475,167,3.656370663888382
133,Agent_133,16,391,33,4.952756543643231
134,Agent_134,18,345,88,3.1750634490561764
135,Agent_135,16,189,2,4.616066144013844
136,Agent_136,29,456,148,4.763263195054717
137,Agent_137,10,365,8,3.1609878475752446
138,Agent_138,7,486,227,4.372836373850703
139,Agent_139,27,477,99,3.913602215977618
140,Agent_140,11,441,18,4.937637925749241
141,Agent_141,26,252,147,4.595667527906599
142,Agent_142,21,328,19,3.164609473410878
143,Agent_143,11,449,16,3.7962738478877034
144,Agent_144,1,363,172,3.7279244355159955
145,Agent_145,29,430,67,4.577084411405513
146,Agent_146,9,394,293,4.821248043241416
147,Agent_147,4,276,98,4.236348851000528
148,Agent_148,4,346,154,4.594123885457473
149,Agent_149,14,63,230,3.2610513529186695
150,Agent_150,8,495,193,3.16771001324651
151,Agent_151,4,205,97,4.501198596208517
152,Agent_152,18,409,194,4.852617070358516
153,Agent_153,15,447,203,4.7749486437340245
154,Agent_154,17,134,122,3.1892894902978046
155,Agent_155,9,166,171,3.3588007069922106
156,Agent_156,15,34,179,4.42156219347342
157,Agent_157,8,326,294,4.0026355363767685
158,Agent_158,6,493,60,3.4518055114710298
159,Agent_159,22,266,171,4.913652904891805
160,Agent_160,22,130,284,4.7818354365648466
161,Agent_161,20,420,6,4.767270313590058
162,Agent_162,6,62,89,4.539955126558403
163,Agent_163,23,225,70,4.0410492702747804
164,Agent_164,1,432,38,4.6524259824851
165,Agent_165,23,137,249,4.154162253596454
166,Agent_166,22,353,75,3.854623908074635
167,Agent_167,15,323,53,4.443954021063734
168,Agent_168,4,229,10,4.800153341096331
169,Agent_169,2,269,298,4.443980327645159
170,Agent_170,15,351,130,3.0397807594463644
171,Agent_171,29,186,240,3.8497105357896775
172,Agent_172,19,245,215,4.474602698895273
173,Agent_173,1,46,296,4.226403996589919
174,Agent_174,13,61,117,3.1715617237279328
175,Agent_175,5,457,47,4.65874726544153
176,Agent_176,29,403,292,4.914879716021348
177,Agent_177,5,81,37,3.0448948729429173
178,Agent_178,6,77,282,4.349404974427946
179,Agent_179,13,436,16,3.1981692148003287
180,Agent_180,3,317,116,4.43972219184942
181,Agent_181,21,90,32,3.898774736451507
182,Agent_182,10,164,47,4.169874066770141
183,Agent_183,9,408,281,3.2869875321855426
184,Agent_184,3,70,23,4.837829342134402
185,Agent_185,25,355,47,3.3238495534073618
186,Agent_186,2,494,96,3.8273356742079008
187,Agent_187,9,263,262,3.7576417031741585
188,Agent_188,24,9,181,3.1898566914806095
189,Agent_189,12,284,202,4.643349358179942
190,Agent_190,8,264,86,4.336710943788453
191,Agent_191,11,145,267,4.166351124833392
192,Agent_192,29,195,267,4.165731517702018
193,Agent_193,8,29,124,4.652295072127538
194,Agent_194,9,16,69,3.84379828119555
195,Agent_195,1,106,76,4.575406680046454
196,Agent_196,9,431,154,3.3699065979625793
197,Agent_197,14,130,87,3.933041683260818
198,Agent_198,27,214,180,3.919287701704098
199,Agent_199,7,491,169,4.745947571881273
200,Agent_200,19,350,23,3.145070973846149
201,Agent_201,15,60,152,3.139050586156523
202,Agent_202,6,189,133,4.013711445794382
203,Agent_203,5,493,145,3.8849783432791645
204,Agent_204,2,26,222,4.052400348108753
205,Agent_205,16,287,41,3.9154560330020165
206,Agent_206,28,400,196,3.756091778930263
207,Agent_207,6,14,81,3.2375217047410665
208,Agent_208,5,304,40,3.819201172300996
209,Agent_209,5,372,225,3.952511961294057
210,Agent_210,5,107,159,3.8153563952050193
211,Agent_211,14,338,107,4.483609417802044
212,Agent_212,20,163,69,3.5230685246119116
213,Agent_213,28,300,31,4.240277616859528
214,Agent_214,23,326,173,3.2902090815799125
215,Agent_215,10,362,266,4.893869980712025
216,Agent_216,16,228,153,4.34597959193771
217,Agent_217,27,165,283,3.314889686331107
218,Agent_218,21,440,156,3.038125551999706
219,Agent_219,27,285,155,3.626569779451465
220,Agent_220,8,80,174,3.913831452665053
221,Agent_221,17,184,114,3.1018768890310433
222,Agent_222,5,67,233,3.133030101002157
223,Agent_223,10,208,134,4.658917890943161
224,Agent_224,28,165,163,4.738343170124725
225,Agent_225,9,377,18,4.000014661826402
226,Agent_226,12,39,163,4.0911445640464725
227,Agent_227,26,463,266,4.875525941680234
228,Agent_228,6,222,96,4.4547764988517145
229,Agent_229,3,203,274,3.1336913749773077
230,Agent_230,8,282,80,4.675624781487607
231,Agent_231,12,240,214,4.755305831286458
232,Agent_232,6,262,180,4.980772053655054
233,Agent_233,14,84,4,3.2425301286914427
234,Agent_234,17,44,92,4.4720524519943705
235,Agent_235,19,204,122,3.342262404357829
236,Agent_236,3,394,36,3.833569009130268
237,Agent_237,10,493,225,3.531834504961272
238,Agent_238,7,152,86,3.852650224069058
239,Agent_239,25,496,280,4.055735199459183
240,Agent_240,20,361,136,3.625874631002314
241,Agent_241,3,244,52,3.536912103482188
242,Agent_242,10,221,105,4.2997273246880745
243,Agent_243,7,370,114,3.9756495303011867
244,Agent_244,26,377,206,3.6965379691104423
245,Agent_245,12,161,237,3.2637272163783715
246,Agent_246,17,33,224,3.9079397560072016
247,Agent_247,21,484,273,3.577407811149321
248,Agent_248,24,303,28,4.603216902091021
249,Agent_249,24,185,285,4.40621284358125
250,Agent_250,10,261,216,4.9762252651003
251,Agent_251,2,272,198,4.263882298305621
252,Agent_252,11,471,74,4.786916792410066
253,Agent_253,4,381,108,4.916444384522955
254,Agent_254,11,109,131,3.243463839405091
255,Agent_255,24,407,193,4.569378397883979
256,Agent_256,6,337,197,3.237863038641152
257,Agent_257,20,244,290,4.391164403962403
258,Agent_258,18,131,226,4.7220142427464324
259,Agent_259,28,135,38,3.1171477889269728
260,Agent_260,18,499,265,3.996788400877114
261,Agent_261,4,346,240,3.972949156033529
262,Agent_262,27,326,269,4.378936114143956
263,Agent_263,1,132,208,3.2992597561285297
264,Agent_264,17,427,291,3.509151836684457
265,Agent_265,28,176,299,3.186672195347268
266,Agent_266,23,262,49,4.7389173111177385
267,Agent_267,4,395,220,4.256666800049769
268,Agent_268,13,396,115,3.25454483264123
269,Agent_269,2,132,10,4.774307782229402
270,Agent_270,9,27,253,4.533196559238645
271,Agent_271,7,104,144,4.76748450123195
272,Agent_272,7,75,155,3.7511964420462904
273,Agent_273,12,345,121,4.737271707543543
274,Agent_274,3,444,180,4.1896288086408955
275,Agent_275,19,193,182,3.8093695599136006
276,Agent_276,9,428,225,4.423565943439616
277,Agent_277,16,132,196,3.230586106267937
278,Agent_278,5,216,62,4.978346135751634
279,Agent_279,20,473,281,3.9151871380982755
280,Agent_280,7,436,206,3.1405869490666936
281,Agent_281,19,248,17,3.102668643157444
282,Agent_282,10,408,43,4.761115761418819
283,Agent_283,24,10,203,4.107537498539806
284,Agent_284,11,282,240,4.112116704296547
285,Agent_285,8,97,277,4.914894044932993
286,Agent_286,21,296,1,3.3890464289322653
287,Agent_287,27,395,134,4.403094074738641
288,Agent_288,28,141,210,4.8482946933297075
289,Agent_289,22,31,176,4.259818891440534
290,Agent_290,27,110,31,4.3485534245105075
291,Agent_291,2,295,215,3.4597051261563347
292,Agent_292,14,294,62,4.654399900532675
293,Agent_293,4,58,141,3.6171400689179443
294,Agent_294,16,128,9,3.917256828351883
295,Agent_295,27,100,266,3.675090565952443
296,Agent_296,17,408,61,3.5929239645399793
297,Agent_297,21,237,67,3.9446498793563545
