Property_ID,Type,City,Size_SqFt,Bedrooms,Bathrooms,Year_Built,Listing_Price,Rental_Price,Neighborhood,Status
1,Condo,Chicago,4934.0,4,2,1989,1153430.6191635937,4719.426365526637,The Loop,Rented
2,Townhouse,Los Angeles,3960.0,5,2,2012,1101016.067164682,4256.943394500517,Beverly Hills,Available
3,Apartment,Miami,4561.0,1,3,1982,320231.62528086675,2714.886540555653,Downtown,Rented
4,Condo,Seattle,973.0,4,2,1995,1030782.3709849903,4706.561545396452,Queen Anne,Available
5,Condo,San Francisco,3713.0,5,1,1959,1146182.4701294028,4809.795725248106,Downtown,Sold
6,Townhouse,San Francisco,4608.0,4,3,1960,1862549.6656905396,2302.121914363178,SoMa,Rented
7,Apartment,San Francisco,948.0,2,2,1965,975641.6020813426,6535.608535653674,Mission District,Sold
8,Apartment,Seattle,2721.0,1,1,1957,1315743.339589583,3031.1718041066397,Capitol Hill,Available
9,Condo,New York,2482.0,1,3,1996,1181567.014303022,6155.452725485001,Manhattan,Sold
10,House,Seattle,,1,1,1995,470966.0087178912,7909.941863922203,Queen Anne,Sold
11,Condo,New York,3142.0,2,2,1953,450377.5965176087,7965.9620125320125,Bronx,Sold
12,Condo,San Francisco,2420.0,5,2,1993,1504856.44372779,6974.859797562994,Downtown,Sold
13,Condo,Chicago,2816.0,5,2,1966,1093821.4832798312,6927.252777439537,Hyde Park,Rented
14,Condo,Chicago,1774.0,1,1,1954,1802462.5776490862,6544.774421048347,Hyde Park,Sold
15,Townhouse,New York,2115.0,5,3,2021,1825494.9428017822,5729.477782290672,Brooklyn,Sold
16,Apartment,San Francisco,4118.0,1,1,2002,664443.9735280205,1879.867145680927,Mission District,Sold
17,Townhouse,Seattle,2806.0,5,1,1954,292901.08125791233,1309.7673815615008,Capitol Hill,Available
18,Townhouse,Chicago,759.0,1,1,1984,,4790.766657292363,Hyde Park,Sold
19,Townhouse,New York,3706.0,5,2,1972,227373.62684259372,5574.5090687056,Queens,Rented
20,Condo,Seattle,2012.0,4,1,1971,1584384.0331825158,3504.314233284058,Queen Anne,Available
21,,San Francisco,2628.0,1,1,2008,377745.0958306782,7615.481866853182,Downtown,Rented
22,Apartment,Los Angeles,3938.0,1,1,2015,1746083.0420446862,2383.168368381316,Beverly Hills,Sold
23,House,San Francisco,2676.0,3,3,1985,889121.6867097416,2387.1691698815544,SoMa,Sold
24,Townhouse,San Francisco,4008.0,1,1,2016,629347.190967815,7016.444576971262,Downtown,Sold
25,Townhouse,Seattle,,5,1,1977,1052885.6425638986,4316.742218784937,Capitol Hill,Sold
26,House,Seattle,731.0,4,2,2022,1250393.1435628561,769.8412841221582,Capitol Hill,Available
27,House,Miami,1229.0,4,1,1972,1432932.4975285437,1969.3692445672086,Downtown,Rented
28,House,Miami,3512.0,5,1,1962,742546.325495029,4738.153657664476,South Beach,Rented
29,Townhouse,Seattle,3429.0,2,2,2022,1967644.5201903926,2944.718004654048,Queen Anne,Available
30,Townhouse,Seattle,817.0,1,1,2018,902345.8324713627,4170.466963613322,Downtown,Rented
31,Apartment,Los Angeles,2030.0,4,1,1979,1685489.681410933,6454.704016742259,Hollywood,Rented
32,Apartment,Los Angeles,1610.0,5,3,2005,166248.5734377854,4212.762334909934,Santa Monica,Rented
33,Townhouse,San Francisco,1215.0,4,3,2009,1578129.9483766959,3988.7683571614198,Downtown,Sold
34,House,Chicago,1841.0,4,1,1970,1147542.4797383752,1820.127827478803,Lincoln Park,Rented
35,House,Los Angeles,3904.0,5,3,1991,1315288.656973049,1597.1975466641825,Hollywood,Sold
36,Apartment,San Francisco,3812.0,3,1,1997,808469.6696048771,3737.4549223392173,Mission District,Sold
37,Townhouse,New York,3620.0,4,3,1971,1135197.1495533707,2072.0171904611248,Manhattan,Sold
38,Apartment,Miami,3587.0,4,1,2017,1871218.860243456,3503.255628107481,South Beach,Rented
39,Apartment,Chicago,701.0,2,3,2022,833469.863565051,4741.623777837753,Hyde Park,Sold
40,Condo,San Francisco,2640.0,3,1,1999,300955.47042183694,1343.938484900048,Mission District,Sold
41,Condo,Seattle,2172.0,2,2,2012,1468974.0327123315,1973.4420204622083,Capitol Hill,Rented
42,Condo,New York,1556.0,5,2,1997,1059811.6083986969,6928.583327380188,Bronx,Sold
43,House,Miami,,1,1,2015,907388.5449949439,5250.961379541097,South Beach,Rented
44,Townhouse,New York,918.0,5,3,2004,1577854.7327295912,6086.14251893272,Manhattan,Sold
45,Townhouse,San Francisco,3098.0,3,2,1985,1168135.9733842951,4164.717518117399,Mission District,Rented
